Guns, Gore & Cannoli$$%%322210$$%%15,733$$%%748.6 k$$%%150.4 k$$%%107.1 k
Guns, Gore and Cannoli 2$$%%525510$$%%25,122$$%%550.2 k$$%%220.8 k$$%%105.5 k
LUMINES REMASTERED$$%%851670$$%%1,588$$%%191.0 k$$%%18.6 k$$%%5.4 k
Mineko's Night Market$$%%762940$$%%12,062$$%%9.5 k$$%%10.0 k$$%%7.3 k
7 Billion Humans$$%%792100$$%%15,249$$%%461.0 k$$%%197.8 k$$%%40.3 k
PixelJunk™ Monsters 2$$%%749800$$%%1,146$$%%76.3 k$$%%10.9 k$$%%4.5 k
The Escapists 2$$%%641990$$%%141,321$$%%4.09 M$$%%816.1 k$$%%2.32 M
Nippon Marathon$$%%746940$$%%2,607$$%%163.4 k$$%%10.8 k$$%%10.0 k
Bad North: Jotunn Edition$$%%688420$$%%44,370$$%%2.13 M$$%%551.6 k$$%%254.5 k
Yooka-Laylee$$%%360830$$%%27,304$$%%2.84 M$$%%173.0 k$$%%304.3 k
Undertale$$%%391540$$%%352,452$$%%7.24 M$$%%5.77 M$$%%6.20 M
Stikbold! A Dodgeball Adventure$$%%429330$$%%3,058$$%%996.7 k$$%%16.7 k$$%%52.9 k
Bomb Chicken$$%%658780$$%%1,796$$%%50.7 k$$%%7.2 k$$%%5.9 k
Overcooked! 2$$%%728880$$%%188,911$$%%3.95 M$$%%5.16 M$$%%1.36 M
Mini Metro$$%%287980$$%%52,608$$%%2.87 M$$%%884.0 k$$%%858.2 k
Reigns$$%%474750$$%%23,295$$%%1.98 M$$%%744.3 k$$%%808.5 k
Ultimate Chicken Horse$$%%386940$$%%114,144$$%%3.23 M$$%%2.60 M$$%%3.07 M
Journey$$%%2408630$$%%131$$%%$$%%743$$%%630
Forager$$%%751780$$%%115,462$$%%4.68 M$$%%1.28 M$$%%1.12 M
BQM - BlockQuest Maker$$%%2121180$$%%138$$%%$$%%58$$%%240
Keep Talking and Nobody Explodes$$%%341800$$%%113,008$$%%3.78 M$$%%466.7 k$$%%1.42 M
Snake Pass$$%%544330$$%%10,697$$%%4.91 M$$%%65.9 k$$%%329.0 k
Runbow$$%%464650$$%%1,090$$%%61.4 k$$%%7.9 k$$%%8.3 k
Broforce$$%%274190$$%%111,790$$%%4.65 M$$%%2.69 M$$%%2.81 M
PICO PARK$$%%1509960$$%%53,542$$%%$$%%$$%%
YIIK: A Postmodern RPG$$%%459080$$%%3,711$$%%38.3 k$$%%15.3 k$$%%18.2 k
Night In The Woods$$%%481510$$%%61,265$$%%860.5 k$$%%339.3 k$$%%528.9 k
Fight Crab$$%%1213750$$%%7,928$$%%93.0 k$$%%36.5 k$$%%26.2 k
Hades$$%%1145360$$%%284,572$$%%5.30 M$$%%7.06 M$$%%7.86 M
Cuphead$$%%268910$$%%316,813$$%%4.36 M$$%%5.07 M$$%%4.80 M
ASTLIBRA Revision$$%%1718570$$%%40,557$$%%180.9 k$$%%485.8 k$$%%698.0 k
Ori and the Blind Forest: Definitive Edition$$%%387290$$%%120,502$$%%$$%%$$%%
Ori and the Will of the Wisps$$%%1057090$$%%189,424$$%%2.26 M$$%%3.74 M$$%%3.84 M
INSIDE$$%%2596760$$%%68$$%%$$%%$$%%
Shovel Knight: Treasure Trove$$%%250760$$%%60,451$$%%$$%%$$%%
Terraria$$%%105600$$%%819,725$$%%72.99 M$$%%27.90 M$$%%24.94 M
Don't Starve$$%%219740$$%%199,938$$%%9.19 M$$%%6.11 M$$%%5.35 M
Salt and Sanctuary$$%%283640$$%%82,100$$%%1.45 M$$%%921.2 k$$%%757.0 k
The Binding of Isaac$$%%113200$$%%59,932$$%%9.73 M$$%%4.42 M$$%%8.32 M
Legal Dungeon$$%%1013750$$%%1,217$$%%114.3 k$$%%20.9 k$$%%11.4 k
Röki$$%%1067540$$%%10,953$$%%1.22 M$$%%87.0 k$$%%77.9 k
Torchlight II$$%%200710$$%%95,109$$%%6.96 M$$%%3.36 M$$%%6.13 M
Skater XL - The Ultimate Skateboarding Game$$%%962730$$%%41,165$$%%456.8 k$$%%346.3 k$$%%573.5 k
Youropa$$%%640120$$%%2,517$$%%1.28 M$$%%12.0 k$$%%5.8 k
SUPERHOT$$%%322500$$%%135,254$$%%5.29 M$$%%1.44 M$$%%1.77 M
Dungeon Defenders: Awakened$$%%1101190$$%%19,526$$%%364.9 k$$%%132.8 k$$%%138.8 k
The Touryst$$%%1796410$$%%708$$%%6.5 k$$%%2.8 k$$%%2.6 k
Skellboy$$%%1096100$$%%1,738$$%%21.2 k$$%%1.9 k$$%%2.8 k
EarthNight$$%%777410$$%%696$$%%$$%%1.2 k$$%%2.9 k
Hotline Miami$$%%219150$$%%48,989$$%%9.19 M$$%%4.23 M$$%%4.26 M
Blashemous$$%%774361$$%%84,128$$%%3.90 M$$%%1.73 M$$%%1.44 M
Close to the Sun$$%%968870$$%%4,900$$%%649.5 k$$%%19.7 k$$%%30.0 k
Cat Quest II$$%%914710$$%%16,846$$%%516.4 k$$%%274.3 k$$%%168.8 k
Spiritfarer®: Farewell Edition$$%%972660$$%%106,661$$%%1.72 M$$%%1.16 M$$%%1.15 M
Creature in the Well$$%%852300$$%%3,955$$%%88.6 k$$%%10.0 k$$%%12.1 k
One Finger Death Punch 2$$%%980300$$%%6,425$$%%1.33 M$$%%179.3 k$$%%139.1 k
Best Friend Forever$$%%1034850$$%%1,599$$%%15.6 k$$%%8.4 k$$%%6.0 k
PHOGS!$$%%850320$$%%8,119$$%%83.0 k$$%%56.5 k$$%%23.3 k
Kine$$%%824570$$%%923$$%%25.2 k$$%%2.7 k$$%%3.2 k
HYPERCHARGE: Unboxed$$%%523660$$%%41,592$$%%346.6 k$$%%251.2 k$$%%122.7 k
Sparklite$$%%943140$$%%5,295$$%%280.6 k$$%%12.5 k$$%%16.0 k
Munchin: Quacked Quest$$%%926730$$%%1,359$$%%13.8 k$$%%$$%%1.6 k
Streets of Rage 4$$%%985890$$%%42,563$$%%639.7 k$$%%377.1 k$$%%500.9 k
Gleamlight$$%%1199370$$%%2,124$$%%24.6 k$$%%3.7 k$$%%3.8 k
Bake 'n Switch$$%%1080410$$%%1,518$$%%10.3 k$$%%2.1 k$$%%2.5 k
SuperMash$$%%872720$$%%331$$%%$$%%748$$%%1.4 k
The Talos Principle$$%%257510$$%%178,790$$%%3.69 M$$%%1.37 M$$%%1.37 M
Sail Forth$$%%1031460$$%%9,708$$%%14.3 k$$%%10.3 k$$%%14.0 k
Murder by Numbers$$%%1140290$$%%2,905$$%%448.9 k$$%%35.9 k$$%%44.1 k
Oddworld: Stranger's Wrath HD$$%%15750$$%%4,034$$%%1.47 M$$%%199.2 k$$%%282.4 k
SkateBIRD$$%%971030$$%%8,723$$%%89.1 k$$%%34.1 k$$%%21.1 k
LIBERATED$$%%875310$$%%8,645$$%%246.7 k$$%%28.5 k$$%%22.8 k
Boyfriend Dungeon$$%%674930$$%%12,501$$%%142.7 k$$%%49.3 k$$%%68.3 k
Dreamscaper$$%%1040420$$%%30,729$$%%499.6 k$$%%113.6 k$$%%84.5 k
The Survivalists$$%%897450$$%%67,531$$%%1.55 M$$%%662.3 k$$%%225.8 k
Axiom Verge 2$$%%946030$$%%3,319$$%%184.8 k$$%%23.3 k$$%%15.7 k
Astroblaster$$%%2058250$$%%5$$%%$$%%$$%%
APE OUT$$%%447150$$%%11,458$$%%258.7 k$$%%112.7 k$$%%111.6 k
Felix the Reaper$$%%919410$$%%2,821$$%%1.59 M$$%%9.1 k$$%%15.2 k
Kind Words (lo fi chill beats to write to)$$%%1070710$$%%16,166$$%%1.53 M$$%%221.6 k$$%%237.0 k
Hypnospace Outlaw$$%%844590$$%%11,375$$%%559.1 k$$%%181.5 k$$%%152.8 k
